@relation 'iris-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 10-I5'

@attribute sepallength {'\'(-inf-5.5]\'','\'(5.5-6.7]\'','\'(6.7-inf)\''}
@attribute sepalwidth {'\'(-inf-2.8]\'','\'(2.8-3.6]\'','\'(3.6-inf)\''}
@attribute petallength {'\'(-inf-2.966667]\'','\'(2.966667-4.933333]\'','\'(4.933333-inf)\''}
@attribute petalwidth {'\'(-inf-0.9]\'','\'(0.9-1.7]\'','\'(1.7-inf)\''}
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}
@attribute cluster {cluster1,cluster2,cluster3}

@data
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(3.6-inf)\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(3.6-inf)\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(2.8-3.6]\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(5.5-6.7]\'','\'(3.6-inf)\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(5.5-6.7]\'','\'(3.6-inf)\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
'\'(-inf-5.5]\'','\'(3.6-inf)\'','\'(-inf-2.966667]\'','\'(-inf-0.9]\'',Iris-setosa,cluster3
